DATE,DAAA
2008-01-02,5.31
2008-01-03,5.33
2008-01-04,5.34
2008-01-07,5.29
2008-01-08,5.31
2008-01-09,5.32
2008-01-10,5.49
2008-01-11,5.38
2008-01-14,5.36
2008-01-15,5.28
2008-01-16,5.29
2008-01-17,5.24
2008-01-18,5.28
2008-01-21,.
2008-01-22,5.27
2008-01-23,5.22
2008-01-24,5.39
2008-01-25,5.32
2008-01-28,5.32
2008-01-29,5.37
2008-01-30,5.47
2008-01-31,5.38
2008-02-01,5.35
2008-02-04,5.39
2008-02-05,5.33
2008-02-06,5.36
2008-02-07,5.49
2008-02-08,5.43
2008-02-11,5.42
2008-02-12,5.50
2008-02-13,5.52
2008-02-14,5.67
2008-02-15,5.61
2008-02-18,.
2008-02-19,5.67
2008-02-20,5.66
2008-02-21,5.56
2008-02-22,5.60
2008-02-25,5.68
2008-02-26,5.68
2008-02-27,5.65
2008-02-28,5.55
2008-02-29,5.42
2008-03-03,5.43
2008-03-04,5.48
2008-03-05,5.61
2008-03-06,5.61
2008-03-07,5.57
2008-03-10,5.50
2008-03-11,5.63
2008-03-12,5.49
2008-03-13,5.53
2008-03-14,5.48
2008-03-17,5.47
2008-03-18,5.50
2008-03-19,5.42
2008-03-20,5.35
2008-03-21,.
2008-03-24,5.49
2008-03-25,5.49
2008-03-26,5.51
2008-03-27,5.56
2008-03-28,5.52
2008-03-31,5.48
2008-04-01,5.57
2008-04-02,5.57
2008-04-03,5.57
2008-04-04,5.45
2008-04-07,5.50
2008-04-08,5.52
2008-04-09,5.44
2008-04-10,5.47
2008-04-11,5.43
2008-04-14,5.47
2008-04-15,5.54
2008-04-16,5.68
2008-04-17,5.65
2008-04-18,5.64
2008-04-21,5.60
2008-04-22,5.54
2008-04-23,5.54
2008-04-24,5.60
2008-04-25,5.64
2008-04-28,5.62
2008-04-29,5.61
2008-04-30,5.51
2008-05-01,5.50
2008-05-02,5.58
2008-05-05,5.57
2008-05-06,5.63
2008-05-07,5.61
2008-05-08,5.53
2008-05-09,5.49
2008-05-12,5.49
2008-05-13,5.59
2008-05-14,5.61
2008-05-15,5.55
2008-05-16,5.55
2008-05-19,5.54
2008-05-20,5.50
2008-05-21,5.52
2008-05-22,5.59
2008-05-23,5.52
2008-05-26,.
2008-05-27,5.61
2008-05-28,5.66
2008-05-29,5.73
2008-05-30,5.67
2008-06-02,5.64
2008-06-03,5.57
2008-06-04,5.64
2008-06-05,5.69
2008-06-06,5.61
2008-06-09,5.58
2008-06-10,5.66
2008-06-11,5.66
2008-06-12,5.73
2008-06-13,5.76
2008-06-16,5.75
2008-06-17,5.76
2008-06-18,5.70
2008-06-19,5.77
2008-06-20,5.72
2008-06-23,5.73
2008-06-24,5.68
2008-06-25,5.67
2008-06-26,5.67
2008-06-27,5.61
2008-06-30,5.60
2008-07-01,5.62
2008-07-02,5.57
2008-07-03,5.60
2008-07-04,.
2008-07-07,5.57
2008-07-08,5.52
2008-07-09,5.50
2008-07-10,5.49
2008-07-11,5.59
2008-07-14,5.54
2008-07-15,5.58
2008-07-16,5.70
2008-07-17,5.75
2008-07-18,5.77
2008-07-21,5.76
2008-07-22,5.78
2008-07-23,5.81
2008-07-24,5.72
2008-07-25,5.81
2008-07-28,5.73
2008-07-29,5.74
2008-07-30,5.76
2008-07-31,5.73
2008-08-01,5.70
2008-08-04,5.72
2008-08-05,5.76
2008-08-06,5.82
2008-08-07,5.70
2008-08-08,5.68
2008-08-11,5.74
2008-08-12,5.68
