Date,Taxa SELIC,SELIC_daylly,r_SELIC,a,b,c,aloc,k1,k2,r_ef,var_ef,k3
2008-11-28,1.0,1.000027261552009,0.001548295287918,0.024008256499480272,-0.036862817798036206,0.014610995324786161,[-0.2  -0.18 -0.35  1.73],1.1181818814250628,0.0003803236613294957,0.792773195134857,0.000476074733447031,1.064263236213256
2008-12-01,1.0,1.000027261552009,0.001515758604911488,0.02252247973607365,-0.03572507522351954,0.014572420289850667,[-0.3  -0.15 -0.36  1.81],1.1182205463678534,0.00031443032465482373,0.8158525630826485,0.0004173355665376397,1.0706702613875623
2008-12-02,1.0,1.000027261552009,0.0015049132787994246,0.021498716070370873,-0.034709564302161905,0.014396489690595825,[-0.35 -0.13 -0.37  1.85],1.0930002795885607,0.00028973767651119904,0.8295818505932275,0.0003976115023134582,1.0481682163237525
2008-12-03,1.0,1.000027261552009,0.0014940680701300835,0.020726298142880076,-0.03396412092845905,0.014290974010580545,[-0.37 -0.13 -0.4   1.89],1.0678142982598626,0.0002740479745836053,0.8415741005627339,0.000386987280210421,1.0248766665360174
2008-12-04,1.0,1.000027261552009,0.0014832229789034646,0.0207342246626501,-0.03409935406398525,0.014391737141950554,[-0.33 -0.12 -0.45  1.89],1.0752360747112095,0.000268620288002391,0.8441455550353943,0.00038174841255190443,1.032855953116496
2008-12-05,1.0,1.000027261552009,0.0014723780051175694,0.019014922296107604,-0.03159013004646759,0.013523951529361816,[-0.33 -0.11 -0.5   1.94],0.9465959813751046,0.00028529950502393037,0.8562590923342294,0.00041596920353569023,0.903632454010809
2008-12-08,1.0,1.000027261552009,0.0014398437883875737,0.016609491456204963,-0.02780416686928327,0.012127682715587777,[-0.35 -0.11 -0.55  2.01],0.7490498252165261,0.00034089150930499305,0.8724253497790183,0.0005125383529034721,0.7031015556553538
2008-12-09,1.0,1.000027261552009,0.001428999284350807,0.016156719667191767,-0.02709728018209332,0.01190875691040696,[-0.34 -0.1  -0.58  2.02],0.6906913772816089,0.0003769438223270328,0.8790322037413395,0.0005736337530709016,0.6427682885826805
2008-12-10,1.0,1.000027261552009,0.001418154897748325,0.015086150754576243,-0.025330081774787325,0.011287147965227505,[-0.32 -0.08 -0.65  2.06],0.5896160763643188,0.0004472979725301779,0.89129248232012,0.0006951091950490226,0.5382023155329784
2008-12-11,1.0,1.000027261552009,0.001407310628578573,0.014059555260833042,-0.02325533426197611,0.01037694645888765,[-0.31 -0.03 -0.68  2.02],0.5098184239844583,0.0005312154656808578,0.8925472915020491,0.0008208743390802829,0.45393706476216067
2008-12-12,1.0,1.000027261552009,0.001396466476839553,0.01458074164489011,-0.02319192021659551,0.01012060175089221,[-0.23  0.05 -0.69  1.87],0.48645267296761474,0.000672558334509315,0.8729059064691351,0.0009862483588873082,0.42211702359979947
2008-12-15,1.0,1.000027261552009,0.0013639347262019985,0.015013537527533934,-0.023057720567922154,0.009820588623702524,[-0.17  0.13 -0.68  1.72],0.48265214957527597,0.0007724545044262277,0.8519758320743922,0.0010737366215814886,0.4119722263829416
2008-12-16,0.25,1.0000068407910654,0.001332643209524198,0.015495651732861977,-0.02312142401825302,0.009684700136648171,[-0.11  0.2  -0.69  1.6 ],0.4760134499940997,0.0008903303537464576,0.8378892566889983,0.001190359915265203,0.39881045366568046
2008-12-17,0.25,1.0000068407910654,0.001301352670672662,0.016537661076195104,-0.024292046546496315,0.009998158107515897,[-0.06  0.24 -0.69  1.51],0.5037951767946699,0.0009346481770355437,0.823320569696711,0.0012081818688758756,0.42320621794165086
